Rank,Country / territory,Population 2015 (UN Estimate),Area (km²)[1],Population density
152, Estonia,"13,40,127","45,227",0
153, Trinidad and Tobago,"13,17,714","5,131",0
154, Equatorial Guinea,"13,13,000","28,050",0
155, Mauritius,"12,83,415","2,040",0
156, Bahrain,"12,34,571",765.3,0
157, Timor-Leste,"11,49,028",,0
158, Cyprus,"11,02,677",,0
159, Swaziland,"10,55,506",,0
160, Djibouti,"8,79,053",,0
161, Fiji,"8,50,700",,0
162, Réunion,"8,28,054",,0
163, Guyana,"7,61,442",,0
164, Bhutan,"6,95,822",,0
165, Comoros,"6,75,000",,0
166, Montenegro,"6,16,411",,0
167, Macau,"5,52,300",,0
168, Suriname,"5,31,170",,0
169, Solomon Islands,"5,30,669",,0
170, Western Sahara,"5,30,000",,0
171, Cape Verde,"5,12,582",,0
172, Luxembourg,"5,02,066",,0
173, Brunei,"4,14,400",,0
174, Malta,"4,14,372",,0
175, Guadeloupe,"4,04,394",,0
176, Martinique,"3,99,637",,0
177, Bahamas,"3,53,658",,0
178, Maldives,"3,19,738",,0
179, Iceland,"3,17,630",,0
180, Belize,"3,12,971",,0
181, Barbados,"2,76,300",,0
182, French Polynesia,"2,67,000",,0
183, New Caledonia,"2,48,000",,0
184, Vanuatu,"2,45,036",,0
185, French Guiana,"2,32,223",,0
186, Mayotte,"2,02,000",,0
187, Samoa,"1,83,123",,0
188, Guam,"1,80,865",,0
189, Saint Lucia,"1,74,000",,0
190, São Tomé and Príncipe,"1,65,397",,0
191, Curacao,"1,42,180",,0
192, Grenada,"1,09,553",,0
193, Saint Vincent and the Grenadines,"1,09,284",,0
194, U.S. Virgin Islands,"1,06,267",,0
195, Tonga,"1,03,365",,0
196, Micronesia,"1,02,624",,0
197, Aruba,"1,01,484",,0
198, Kiribati,"1,00,835",,0
